favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
67,Twitter for Android,@DBradleyRI   You are a great looking guy who is really smart - you can do much better than your current girlfriend - she's nothing!,DBradleyRI,False,Sun Apr 28 04:24:39 +0000 2013,114,328364109869490177
109572,Twitter for iPhone,"Was just briefed on the shooting at YouTube’s HQ in San Bruno, California. Our thoughts and prayers are with everybody involved. Thank you to our phenomenal Law Enforcement Officers and First Responders that are currently on the scene.",,False,Tue Apr 03 21:49:14 +0000 2018,19986,981287536520847360
176358,Twitter for iPhone,"When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%. Does that sound like free or fair trade.  No, it sounds like STUPID TRADE -  going on for years!",,False,Mon Apr 09 10:03:16 +0000 2018,46868,983284198046826496
43,Instagram,Vince McMahon shows the crowd one of the greatest moments in WWE History. #WWEHOF http://t.co/5VW83b5EfZ,,False,Wed Apr 10 02:25:05 +0000 2013,68,321811038607654912
1,Twitter Web Client,@MarkkCole  Happy Birthday Mark.,MarkkCole,False,Mon Apr 22 19:52:14 +0000 2013,3,326423217612935168
151,Twitter Web Client,I think it was terrible that Tim Cook of Apple apologized to China. What the hell is he apologizing for? Steve Jobs wouldn’t.,,False,Tue Apr 02 20:40:41 +0000 2013,269,319187653784371201
55,Twitter Web Client,Do you think I made the right decision? #CelebApprentice,,False,Mon Apr 15 02:59:06 +0000 2013,29,323631539831316480
295,Twitter Web Client,Your work will never be in vain if you work for a cause that is greater than yourself.,,False,Thu Apr 04 21:08:53 +0000 2013,804,319919526428954625
23,Twitter Web Client,.@IvankaTrump is right—Plan B has descended into a state of total chaos. #CelebApprentice,,False,Mon Apr 29 01:51:06 +0000 2013,26,328687856887418880
14,Twitter for Android,"""@Joe_Mangieri: Going to @Macys this weekend to get @realDonaldTrump ties! What's your favorite color Mr. Trump?""  Blue but all are great!",,False,Wed May 01 02:11:27 +0000 2013,12,329417755164033025
10,Twitter Web Client,".@alexsalmond  RT @islandbluenose 
You'll be doing us in scotland a great service if you win. Good Luck.",,False,Tue Apr 16 18:44:43 +0000 2013,12,324231900334026752
25,Twitter Web Client,.@bretmichaels and George Ross are back as advisors. Good to see them! #CelebApprentice,,False,Mon Apr 22 01:09:25 +0000 2013,22,326140652079423488
217,Twitter for Android,"I have gotten to know many Spanish speaking people as the owner of Trump National  Doral in Miami. They are smart, hard working and great",,False,Fri Apr 05 03:57:12 +0000 2013,337,320022283643133952
10,Twitter Web Client,"Via @TVbytheNumbers: 'Celebrity Apprentice' is Number 1 among ABC, CBS &amp; NBC for its Second Hour from 10-11 p.m. http://t.co/mz8RMP9ylC",,False,Wed May 01 21:19:50 +0000 2013,12,329706753157644289
17,Twitter Web Client,"What a great group! http://t.co/NTtjAWnrnU With @Schwarzenegger, @SammartinoBruno, and @TripleH. #WWEHOF",,False,Wed Apr 10 03:05:31 +0000 2013,23,321821214324686851
22,Twitter Web Client,Today The Blue Monster is torn up. The Trump National @DoralResort is being revolutionized with $200M of renovations.,,False,Mon Apr 01 19:20:05 +0000 2013,38,318804982742802433
18,Twitter Web Client,".@DannyZuker Don't lie, @ApprenticeNBC was #1 in all major demos at 10. Do not lie!",,False,Mon Apr 29 20:16:02 +0000 2013,14,328965921395851265
7,Twitter Web Client,The dying @VanityFair’s circulation has “dropped” &amp; its newsstand sales have “plummeted by 20.1 percent” http://t.co/oxTRgqiTYU,,False,Tue Apr 23 20:07:10 +0000 2013,18,326789363948195840
10,Twitter Web Client,.@TrumpNewYork on CPW in NYC is the home of the globe that has become an icon in the city. #CelebApprentice,,False,Mon Apr 01 02:03:45 +0000 2013,15,318544178764185600
2,Twitter Web Client,@Abtheproducer Maybe Obama?,Abtheproducer,False,Thu Apr 25 16:52:12 +0000 2013,0,327465076690927616
0,Twitter Web Client,@angie_ncislover  Have a happy one!,,False,Mon Apr 08 14:57:19 +0000 2013,4,321275569822105600
13,Twitter for Android,"""@lucaswilson911: @realDonaldTrump PLEASE REPLY TO ME!!! Yay! I'm your number 1 fan!!! I will die happy if you respond to this tweet :D $$$$",,False,Mon Apr 01 10:56:15 +0000 2013,12,318678189473931264
10,Twitter for Android,"""@rodmonium91: @realDonaldTrump My 12yr old nephew is your biggest fan! Has #Success cologne, watches Apprentice, wants to be like u""Say hi!",,False,Thu Apr 11 12:29:16 +0000 2013,8,322325475659763712
196,Twitter Web Client,.@hardball_chris must have the lowest IQ on television—now telling people that domestic terrorists are from the right.,,False,Tue Apr 16 14:19:46 +0000 2013,278,324165224502534145
12,Twitter for Android,"""@ToddZ64: @realDonaldTrump I love it when you are on Letterman. You keep him on his toes. Hope you are on his show again soon."" I WILL BE!",,False,Sat Apr 27 03:26:20 +0000 2013,12,327987045974806528
28,Twitter Web Client,"The $200M renovations at Trump @DoralResort are right on target.  When completed, the course will be as good as it gets.",,False,Wed Apr 10 19:52:12 +0000 2013,39,322074553293631489
14,Twitter Web Client,Another great shot from the beginning of construction at @DoralResort. http://t.co/Y8em4FYN58,,False,Thu Apr 18 20:28:54 +0000 2013,14,324982893308956672
9,Twitter for Android,"""@Kyle_j91: @realDonaldTrump If the US asked for reimbursement for defense and the Koreans declined, then what?  Let's rebuild the U.S.!",,False,Sun Apr 14 22:27:51 +0000 2013,29,323563277915410432
81,Twitter for Android,China is pushing North Korea!,,False,Sat Apr 06 23:08:01 +0000 2013,204,320674283372302336
6,Twitter for Android,"""@TMPLUSII: @realDonaldTrump Thanks for buying Doral! There is no doubt your vision will create a master piece. Hope to play it one day""YES!",,False,Wed May 01 02:21:33 +0000 2013,8,329420295343587328
1,Twitter Web Client,@keiththoms @ApprenticeNBC Original schedule but going back to two hours.,keiththoms,False,Fri Apr 05 21:25:05 +0000 2013,2,320285990075908096
93332,Twitter for iPhone,Just spoke to @JustinTrudeau to pay my highest respect and condolences to the families of the terrible Humboldt Team tragedy. May God be with them all!,,False,Sat Apr 07 17:35:28 +0000 2018,18078,982673223719489536
6,Twitter Web Client,"... among ABC, CBS and NBC in the key news demo of adults....",,False,Mon Apr 01 22:05:31 +0000 2013,16,318846616633217026
77,Twitter for Android,@realDonaldTrump   Windfarms destroy everything around them-very sad!,realDonaldTrump,False,Tue Apr 30 02:17:56 +0000 2013,127,329056996391280640
26,Twitter for Android,"Me, by a lot!",,False,Mon Apr 22 12:09:13 +0000 2013,48,326306697641619456
101835,Twitter for iPhone,"Unbelievably, James Comey states that Polls, where Crooked Hillary was leading, were a factor in the handling (stupidly) of the Clinton Email probe. In other words, he was making decisions based on the fact that he thought she was going to win, and he wanted a job. Slimeball!",,False,Sun Apr 15 11:42:33 +0000 2018,26716,985483513704124416
63,Twitter for Android,"Don't talk to me about Bush, I was never a defender or a fan!",,False,Fri Apr 12 11:38:18 +0000 2013,87,322675037519892480
64,Twitter for Android,"""@ajbarker50: @realDonaldTrump do you try to make everything about you?""  YES!",,False,Sun Apr 21 14:21:40 +0000 2013,67,325977641578549248
334,Twitter Web Client,"Study your area of business. All business involves risk, but risk can be reduced when you learn everything you can about what you’re doing.",,False,Fri Apr 26 15:31:14 +0000 2013,626,327807087797219328
19,Twitter Web Client,Do you agree with the client's decision? #CelebApprentice,,False,Mon Apr 29 02:41:53 +0000 2013,20,328700636147376128
0,Twitter Web Client,@lesterwge  Thank you.,lesterwge,False,Tue Apr 16 20:53:59 +0000 2013,1,324264431196454912
9,Twitter for Android,"""@teh_jaybee: @realDonaldTrump are you going to return the favor to @VinceMcMahon and be the one who inducts him in to the @WWE #HOF?"" YES!",,False,Sat Apr 13 12:30:39 +0000 2013,12,323050599253950464
49,Twitter for Android,"""@11SHEILA11: @realDonaldTrump Why dont you just get in there and run for President? you got all our votes""  Thanks!",,False,Wed Apr 24 01:35:41 +0000 2013,36,326872037530406914
7,Twitter for Android,"""@Jesus_Mohammad: @realDonaldTrump should I get the red Donald trump tie or the blue Donald trump tie???"" Get them both at Macy's-thanks!",,False,Sun Apr 07 12:10:59 +0000 2013,17,320871322995552256
28,Twitter Web Client,We have the Final Six—and @LilJon is the last remaining member of Team Power. He’s done a great job. #CelebApprentice,,False,Mon Apr 29 01:03:09 +0000 2013,23,328675789673476097
6,Twitter Web Client,.@LilJon’s take on @piersmorgan seems to be a classic love-hate combo. Piers can be tough and everyone knows it. #CelebApprentice,,False,Mon Apr 01 02:16:20 +0000 2013,16,318547345954455554
5,Twitter for Android,"""@MajideDan: @realDonaldTrump But WHY only one hour?! I need my two hours of crazy. #celebapprentice"" Next week until end increased to 2 hrs",,False,Sun Apr 07 20:32:35 +0000 2013,11,320997554676445184
8,Twitter for Android,"""@GabiOliver26: @realDonaldTrump @maffucci93 My 17th bday is tomorrow :D plzzzz will u retweet me...""  Happy B-day!",,False,Thu Apr 25 12:02:41 +0000 2013,13,327392214768558080
64607,Twitter Web Client,"Thank you to all of the American workers who travelled here today! This event is dedicated to YOU: the hardworking Americans who make this nation run. You love your country, you provide for your family, you have PRIDE in your work and you cherish our GREAT AMERICAN FLAG! #TaxCuts https://t.co/RwaLpCRPh5",,False,Thu Apr 12 18:32:30 +0000 2018,14211,984499517805486082
